CourseId,FacilityId,CourseName,City,State,Ranking
3f0dbb89-d060-45dd-8555-364161be916e,A3A2AA9C-4E59-443E-9734-3B823C3FF9F8,Kalispel,Spokane,WA,8
c969c8d3-8b7b-44ef-bbab-59ec70f4c7f5,829EDF60-E38B-4183-8F2C-0374B3D63674,White Horse,Kingston,WA,9
90984d0b-8a3b-4ced-a7c3-1449e5a82207,82C44EDD-12B3-4E66-B1C6-5F1BBA3B33BE,Suncadia (Roper Rider),Cle Elum,WA,10
028cf436-0ff0-44ac-837b-db7a1a81d6c7,1CCAC3D2-6F33-4C81-80F3-FDB2CE75DE38,The Greenbrier (Old White),White Sulphur Springs,WV,1
ee5dd47b-a2b6-48a6-ad48-e417cc5cb377,E4C42C79-A4E1-4BA6-8A31-0A2C3BA96269,Snowshoe Mountain (Raven),Snowshoe,WV,2
e5bb6246-c6be-42ff-b9e2-118c88cd122e,4E928C5A-DCC6-4A8A-AD76-75AEB58561C4,Stonewall Resort,Roanoke,WV,3
cb175c26-9772-4a06-82dc-7d6cf2514493,5BC6E4B6-3627-4877-91FF-1AA386AD040C,The Resort at Glade Springs (Stonehaven),Daniels,WV,4
9873eade-b8b7-46c0-a645-eb680e003403,AFA28BAC-A8FE-4D0E-BB33-49578FE740AF,The Resort at Glade Springs (Cobb),Daniels,WV,5
182319f7-89e6-4607-8eb2-1e62ba2b02b5,5D39FAC5-42D6-4E03-BE8E-6A0CB9263E77,Kohler Whistling Straits (Straits),Mosel,WI,1
b4b29179-414c-46b1-9c1b-00a0d3288262,4C9CEC6B-702A-4587-9140-EBF3CB584EBD,Sand Valley (Lido),Nekoosa,WI,2
5e6c1dff-84b3-4fcf-9c3c-81c267d45a96,4C9CEC6B-702A-4587-9140-EBF3CB584EBD,Sand Valley (Sand Valley),Nekoosa,WI,3
0686de25-c495-4075-b1fe-600a19c21857,4C9CEC6B-702A-4587-9140-EBF3CB584EBD,Sand Valley (Mammoth Dunes),Nekoosa,WI,3
a4f2047c-731b-4614-adcc-850dc11cc790,4C9CEC6B-702A-4587-9140-EBF3CB584EBD,Sand Valley (Sedge Valley),Nekoosa,WI,5
b72f8c08-7ef0-46dc-9bca-dc4e8fc1bbe9,58BCC069-A589-41B8-B5B2-E44180EF98DD,Erin Hills,Erin,WI,6
a74e143f-c452-46ac-a955-d95e013109b2,A06CC9CF-0657-41C8-A306-E8D00B545163,Lawsonia (Links),Green Lake,WI,7
8240d0f8-7170-4c03-907a-df17550c5e83,681BF49C-CEA5-4C26-9B26-781B659380BE,Kohler Blackwolf Run (River),Kohler,WI,8
9ef16d77-2b46-441f-ba12-88859bc269ae,5D39FAC5-42D6-4E03-BE8E-6A0CB9263E77,Kohler Whistling Straits (Irish),Mosel,WI,9
44a401af-6b77-4ec0-a720-8953b8c07ae7,4D695603-68F3-4C53-A174-017CFA63B7D2,SentryWorld,Stevens Point,WI,10
f2c5116d-ba8e-445f-b133-7318bcf2094e,1696F797-207E-4D90-BC90-549252192EBC,University Ridge,Madison,WI,11
1c4db851-e10b-4ca6-873e-af19c2bb2c3b,E4455AC4-BA78-40CF-96C4-1301DF656F35,The Bull at Pinehurst Farms,Sheboygan Falls,WI,12
55476757-2b55-4bde-bbbe-1ba175dab1f6,681BF49C-CEA5-4C26-9B26-781B659380BE,Kohler Blackwolf Run (Meadow Valleys),Kohler,WI,13
7d1b09fe-a908-489b-9439-c4b434c928b3,F6844577-C07A-4305-84EB-90061401328D,Wilderness Resort (Wild Rock),Wisconsin Dells,WI,14
ef4b8e8a-0748-46cf-9415-39fb17312987,E0207936-98CF-4C4D-850D-397821EC90DC,The Club at Lac La Belle,Oconomowoc,WI,15
cc749801-2929-47de-b108-85323d8a4ed5,AB73C5F2-251F-4892-AD10-32A01D6D9ABA,Geneva National GC (Arnold Palmer),Lake Geneva,WI,15
b9eef7c9-d401-4fbb-a084-4eec804b1775,923CB5C6-7A55-4A69-A835-D2E8091DB26C,Teton Pines,Wilson,WY,1
4e6ab7e2-77c5-4a83-92cc-780918e929a7,61BDBBED-593A-48BF-873E-2C354A329D99,Bell Nob,Gillette,WY,2
bec50009-071e-4be5-a950-632173240dca,5ECC0BF7-65A1-448B-AD71-9F05D6B0EA78,Jackson Hole Golf & Tennis Club,Jackson,WY,3
c5a2066d-080a-4b86-88ee-74815c78e2a6,12A61285-7FAB-40E4-8D45-D0A4235A5027,Buffalo Golf Club,Buffalo,WY,4
ad5ccad4-3172-43d8-abc1-a5dc5baac1cd,145EEB55-2EDB-4BA8-8997-6CDDB9254EB8,Cheyenne Country Club,Cheyenne,WY,5
